,date,paid,cost,not paid,value,location
ETH,2022-01-02,0,0,6.28e-06,0.020646344581800046,binance
BNB,2022-01-02,0,0,3e-08,1.3739263794376835e-05,binance
ADA,2022-01-02,0,0,2.05e-06,2.438221575089117e-06,binance
XLM,2022-01-02,0,0,0.00027694,6.82861379271552e-05,binance
VET,2022-01-02,0,0,0.01808939,0.0013517090096190677,binance
VTHO,2022-01-02,0,0,151.31346169,0.8523840592589493,binance
MATIC,2022-01-02,0,0,2.151e-05,4.7827507843856785e-05,binance
LDBNB,2022-01-02,0,0,0.00401445,1.8385195846445368,binance
SOL,2022-01-02,0,0,2.8e-07,4.3107990206617296e-05,binance
LDXLM,2022-01-02,0,0,28.66970229,7.069196377935356,binance
LDADA,2022-01-02,0,0,0.21286842,0.25318067038982034,binance
LDVET,2022-01-02,0,0,795.50587524,59.443268057508284,binance
LDMATIC,2022-01-02,0,0,0.17447671,0.3879491499811867,binance
BETH,2022-01-02,0,0,0.29810432,908.9466513642717,binance
LDSOL,2022-01-02,0,0,0.01429015,2.2000701651824723,binance
SANTOS,2022-01-02,0,0,9.015e-05,0.0002814157335799899,binance
MC,2022-01-02,0,0,0.00024824,0.0010811796078065484,binance
HIGH,2022-01-02,0,0,0.00011296,0.001119246095599163,binance
